event_id,pid,px,py,pz,E,x_f,y_f,z_f,t_f
0,221,-0.381504253,0.478029222,-41.2940257,41.3021903,4.76443,1.61024,-28.0902,28.0999
0,225,-0.312603144,-0.433046053,0.146152568,1.39096592,-6.43448,-2.33811,0.344526,0.917224
0,-323,-0.0900453959,-1.01514833,-107.705893,107.714408,-4.8157,0.982724,-40.9134,40.9221
0,1114,1.02897458,-0.250508912,0.921177152,1.86760134,-3.00532,6.24794,0.857197,1.20676
0,111,0.174568233,0.916438366,95.6099438,95.6145948,-1.669,3.00293,56.7823,56.7887
0,-1212,-0.742911712,0.567515461,-35.652734,35.70131,-1.66484,6.19336,-16.1873,16.2096
0,9000111,0.145155607,0.278805902,6.06487316,6.15301636,-1.00595,6.86056,4.61449,4.69214
0,223,0.111141698,-0.204226682,-24.6057411,24.6192942,-0.333293,-6.21193,-20.2152,20.2331
0,311,-0.21821851,-0.244587177,33.4829269,33.4881751,1.66806,3.00231,57.5325,57.5388
0,-213,0.378735064,-0.494262715,44.507537,44.5186563,4.17526,-3.56561,31.3977,31.4091
0,-13314,-0.233335487,0.912764112,-91.6363442,91.6593176,5.07403,-0.333342,-26.1328,26.1467
0,213,0.237860212,-0.0318564758,1.58144518,1.77784622,6.68647,-0.735275,1.15498,1.41774
0,225,-0.899804663,0.0946900718,-6.48089822,6.66699575,-6.75157,0.982288,-3.98864,4.0997
0,-313,-0.771079415,-0.430022056,0.72950724,1.45166361,-6.60225,-1.00106,0.646835,1.14931
0,211,-0.335968475,0.20655152,-9.10437607,9.11395885,-5.74409,-1.67014,-22.5634,22.5834
0,111,-0.433117104,0.235949982,2.23985002,2.29765858,-5.90735,3.04579,1.73667,1.98058
0,9010221,0.135391987,0.241658277,33.9009942,33.9165776,-5.15142,-1.67011,22.9096,22.9293
0,-213,0.183640603,-0.053418724,-29.2564225,29.267337,-4.46043,2.3952,-39.2721,39.2837
0,111,0.0953645006,0.193342732,-0.455968208,0.522902291,-3.71099,5.82747,-1.34452,1.64711
0,-311,-0.456873562,-0.997082051,-10.8416257,10.9081525,-3.0288,-5.81623,-14.1263,14.1583
0,311,1.16278993,0.0543012395,-112.936597,112.943676,-1.66726,1.00028,-66.4967,66.5035
0,211,-0.045500698,0.0918837119,-43.5510528,43.5513922,-1.00186,-1.00168,-68.3374,68.344
0,211,0.120370604,0.368149185,-0.30841914,0.513993454,-0.333496,7.05008,-1.79468,2.03061
0,221,0.63074046,1.00309718,-1.02553492,1.66013956,0.334387,7.04366,-0.911058,1.31626
0,221,-0.233638007,0.367466956,-47.4193792,47.4245448,1.00113,-3.00205,-60.7312,60.7386
0,321,0.265261898,-0.117803419,-40.0498518,40.0539499,3.03418,4.37328,-29.1986,29.2141
0,-2224,-0.275746048,-0.261263438,-51.5413106,51.5574322,3.67398,1.00254,-48.5473,48.5566
0,20213,0.618762274,0.821116699,3.04586429,3.44198906,5.21702,-4.47556,1.31952,1.6271
0,213,1.20152785,-0.332435816,0.27270843,1.49356239,6.48632,-1.66862,0.629427,1.13961
0,-323,0.661759009,-0.0799128984,-7.4458241,7.52863012,6.08028,0.341969,-7.95274,8.00875
0,2212,-0.341971742,-0.607748818,7.48939819,7.58005492,-5.70481,-3.00662,5.58957,5.68737
0,211,-0.0593232265,-0.0809127552,0.611955953,0.63529537,-5.13008,4.38377,0.150205,1.06202
0,-211,-0.290178109,-0.310344368,21.0134734,21.0182212,-3.67016,-0.999861,52.7847,52.7951
0,-3124,-0.00564764656,0.792876194,-79.9033702,79.9217596,-2.96281,-4.28904,-41.2385,41.2519
0,111,-0.0361825398,0.00105418357,22.692561,22.6930094,-2.3127,-3.64327,51.8747,51.8853
0,111,0.192605704,0.071661648,37.3350723,37.3358929,-1.00042,-1.00014,72.9086,72.9162
0,321,-0.188068981,0.231870058,47.1413939,47.1449275,-1.00056,2.33434,68.2416,68.2497
0,111,0.577297497,0.461817241,10.7964788,10.8226404,-1.00626,6.24939,14.9833,15.02
0,213,0.118619507,0.0616660517,-30.7929943,30.8030607,-0.329551,-5.09054,-42.9278,42.9407
0,113,0.208786569,-0.573384283,-51.9727811,51.9821557,0.33377,-3.00179,-65.162,65.1705
0,-211,-0.40272243,0.100890315,23.2836736,23.2877836,0.333495,2.33435,67.9951,68.0033
0,211,0.078198251,-0.16015386,-11.2538467,11.2561039,1.6918,5.09186,-32.8357,32.8526
0,-2212,-0.159282053,-0.00660530996,-5.51669163,5.59813763,2.30883,-6.16819,-9.10848,9.16866
0,111,0.738447815,-0.451254646,-48.4322783,48.4402061,3.00355,2.33552,-53.9874,53.9976
0,311,0.0776497819,0.0487473639,-0.729645334,0.88590299,4.3455,5.01505,-1.89602,2.16749
0,-3312,-1.08145356,0.528832643,3.53083721,3.95640508,-6.3782,-1.66864,2.16083,2.4478
0,221,-0.680004774,-0.150132585,7.31213487,7.36563416,-6.32533,0.334067,6.07098,6.17896
0,-321,-0.0408435122,0.0381826331,1.90605449,1.9698238,-6.03524,1.42822,7.14382,7.23421
0,100323,0.625658337,0.97636651,-0.979236542,2.07915491,-6.27924,2.33647,-0.414896,1.22262
0,111,-0.444780115,0.0483400876,4.32510693,4.3503747,-4.98831,-3.67518,9.99068,10.0566
0,211,0.278955061,-0.534463731,-18.4564956,18.4668552,-4.87355,0.988053,-43.0605,43.0758
0,111,-0.156294862,-0.0368647539,0.388003261,0.442015412,-5.03336,4.33859,1.15823,1.6323
0,213,0.046617582,0.149061222,4.41503119,4.4854285,-4.32322,-4.9882,4.82339,4.95841
0,111,-0.808985753,-0.9046102,-50.7136227,50.7283289,-4.43754,3.7262,-28.7017,28.7248
0,20325,-0.375813163,-1.96472868,-54.8453451,54.911948,-3.75137,-5.15223,-17.1779,17.2165
0,-32212,0.67816722,1.28335692,-114.135488,114.156643,-3.72785,3.04354,-46.8143,46.8285
0,111,0.364115566,-0.0208811487,-29.5696791,29.5722502,-1.66755,-2.33409,-70.2737,70.2831
0,-2212,-0.340440243,0.343843928,75.9395399,75.9468741,-1.66753,-0.333438,72.2866,72.2958
0,213,-0.643258457,0.110698975,68.320024,68.3275486,-0.333441,1.66715,74.5742,74.583
0,111,1.05540185,0.860302115,-40.3945847,40.4177623,-0.353613,5.27482,-38.8074,38.8247
0,321,0.15018328,0.302810887,1.74542291,1.84520638,0.333716,6.95075,2.78099,3.00939
0,10311,0.719667556,-0.987665628,-13.4779171,13.6109832,5.08591,-3.67401,-7.72957,7.81468
0,211,0.411151461,0.102683583,0.924922668,1.02670121,5.6553,-3.67102,2.76517,2.99482
0,-211,-0.542406215,0.165877883,-7.84123873,7.86293767,-6.43786,-1.0012,-11.296,11.365
0,321,-0.21919966,-0.233301795,1.56453343,1.67160972,-5.98361,-2.60788,2.42085,2.72788
0,325,-0.228565343,0.454094425,-2.46661494,2.89563018,-5.64431,3.67062,-1.71661,2.12357
0,221,1.12559842,0.653639126,59.5342546,59.5510033,-2.92,4.22416,36.8915,36.9126
0,2112,0.242985712,0.279966534,-6.8210467,6.89521177,-1.66899,6.57993,-6.71096,6.82642
0,-311,0.596231524,-0.315022861,64.2201775,64.2256177,-0.333593,-1.66715,77.5266,77.5367
0,20113,-0.757282471,0.496805719,-123.301363,123.310824,0.333555,1.00029,-78.8962,78.9061
0,10223,1.29604641,0.496577435,-14.4554102,14.5689433,1.67145,6.3712,-8.79809,8.88646
0,211,0.494538148,-0.183747123,-27.6911975,27.6965664,2.33286,4.98285,-30.4488,30.4745
0,211,-0.865585233,0.264588045,44.3253366,44.3347917,2.73368,0.27873,71.378,71.3884
0,221,0.208605236,0.642088828,19.7825722,19.8016732,4.22485,4.23519,23.206,23.2395
0,-211,0.994330357,0.555392879,-0.405593213,1.2168418,4.36043,5.03578,0.146854,1.2595
0,-321,-0.326835541,0.20305086,-2.74849055,2.818916,-6.60157,1.00023,-4.23563,4.44557
0,111,-0.206701224,0.251801355,-0.268184894,0.443955466,-6.57776,1.0002,-1.37809,1.92915
0,227,-0.948558032,0.163493306,-0.226582775,1.93822629,-6.41265,1.66757,-0.20238,1.3651
0,-323,-0.851580483,0.8826977,23.0203187,23.0702207,-5.79717,0.3334,15.0828,15.1432
0,211,-0.0343163485,-0.0961780584,-0.774136147,0.792943002,-4.39001,-5.08846,-7.20149,7.32712
0,-211,-0.142180964,-0.298471938,-17.3878945,17.3915848,-4.5376,-4.53064,-15.9284,15.9857
0,1114,-1.19939248,0.217773893,17.7243896,17.8089241,-3.62844,-4.93473,15.54,15.5984
0,323,-0.241488097,0.43120052,17.1003943,17.1307735,-3.06179,-5.14245,19.5321,19.5788
0,223,-0.125129728,0.566481541,-47.9927694,48.002662,-3.0013,1.66743,-69.8602,69.8733
0,-211,0.379648694,-0.925032862,2.05603919,2.29044976,-2.3349,-6.43714,2.45823,2.80455
0,10115,-0.848385603,1.15551925,-32.1586778,32.2340057,-1.67239,6.23246,-15.7002,15.7582
0,-323,0.590985913,-1.36888736,-29.765255,29.8159217,-1.00187,-6.28789,-19.5913,19.6377
0,-313,0.876241647,-0.444551294,14.3579424,14.4191401,1.67133,-6.27973,15.7106,15.7685
0,321,0.190027386,-0.256819992,-1.60973716,1.71387183,2.33537,-6.42735,-2.46843,2.81351
0,3114,-0.540950015,-1.72067796,-0.811082093,2.41442306,2.33492,-6.47051,-0.198023,1.36449
0,13122,0.102093287,-1.7878276,134.270076,134.289367,3.00084,0.333363,70.9169,70.9298
